ds,yhat,yhat_lower,yhat_upper,segment_type,segment_name
2022-02-07,24441.85740122215,17839.34636401375,31777.43124991596,overall,All Sites & Brands
2022-02-08,32942.6069081347,26700.93863961684,40047.00663112691,overall,All Sites & Brands
2022-02-09,25439.163254567193,18350.058399187026,32074.08223879983,overall,All Sites & Brands
2022-02-10,27476.582602281713,20722.452084251927,34349.46935536367,overall,All Sites & Brands
2022-02-11,29884.355647579316,22706.411168132174,36901.44517755656,overall,All Sites & Brands
2022-02-12,34565.77017464118,27531.68876082935,41600.22956659925,overall,All Sites & Brands
2022-02-13,44892.88073333544,38368.07133681754,51724.824901563734,overall,All Sites & Brands
2022-02-14,24684.64181365636,18050.957834899906,31375.6995705631,overall,All Sites & Brands
2022-02-15,33046.0664102063,26398.216664183703,39752.98736001346,overall,All Sites & Brands
2022-02-16,25427.620369776378,18921.552164549354,31380.297276092435,overall,All Sites & Brands
2022-02-17,27376.730142882872,20571.4029104858,34257.19631996118,overall,All Sites & Brands
2022-02-18,29724.19702586251,22520.826791214215,36284.588418328494,overall,All Sites & Brands
2022-02-19,34373.54941587244,27593.088320694147,40725.630242155516,overall,All Sites & Brands
2022-02-20,44696.03449199093,37826.13019835741,51540.883902334856,overall,All Sites & Brands
2022-02-21,24508.80452435452,17540.423726447243,31285.003235891574,overall,All Sites & Brands
2022-02-22,32914.157655948526,25579.84641516465,39753.17652869615,overall,All Sites & Brands
2022-02-23,25359.040689404967,18451.354714967118,32352.443860379193,overall,All Sites & Brands
2022-02-24,27386.687916645435,20471.947393108705,34131.98217577859,overall,All Sites & Brands
2022-02-25,29823.18488415236,22550.93004876619,37208.62617681237,overall,All Sites & Brands
2022-02-26,34566.983940636535,27957.045736366537,41875.955925343544,overall,All Sites & Brands
2022-02-27,44984.06795825868,37986.46919409594,52160.63432878752,overall,All Sites & Brands
2022-02-28,24886.312213216785,18778.39143116595,31807.08315029188,overall,All Sites & Brands
2022-03-01,33370.8990137972,26801.183414296298,40082.77297405275,overall,All Sites & Brands
2022-03-02,25879.98745556414,19189.668860088655,33328.2293781696,overall,All Sites & Brands
2022-03-03,27952.50745362391,21185.76281447467,35192.05294103822,overall,All Sites & Brands
2022-03-04,30410.862448145414,24372.348950537813,37233.79708271327,overall,All Sites & Brands
2022-03-05,35150.56365990959,27796.34185367683,41782.65688082114,overall,All Sites & Brands
2022-03-06,45535.488948873404,38922.27696597351,52047.52011230988,overall,All Sites & Brands
2022-03-07,25376.313649568034,18809.772512447038,31960.37320514094,overall,All Sites & Brands
2022-03-08,33769.966151515044,26997.7954443456,40435.467631941705,overall,All Sites & Brands
2022-03-09,26159.309625028764,18659.052741784064,32524.31520290396,overall,All Sites & Brands
